A-0.6	Accessible Canada Act
N-27	Northwest Territories Act
N-28.1	Nuclear Liability and Compensation Act
N-28.3	Nuclear Safety and Control Act
N-28.5	Nunavik Inuit Land Claims Agreement Act
N-28.6	Nunavut Act
N-28.75	Nunavut Planning and Project Assessment Act
N-28.7	Nunavut Land Claims Agreement Act
N-28.8	Nunavut Waters and Nunavut Surface Rights Tribunal Act
N-28	Nuclear Liability Act
N-2	National Anthem Act
N-3.4	National Battlefields at Quebec Act
N-3.7	National Blood Donor Week Act
N-3	National Arts Centre Act
N-4.2	National Cemetery of Canada Act
N-4.3	National Council for Reconciliation Act
N-4.5	An Act to amend the Bills of Exchange Act, the Interpretation Act and the Canada Labour Code (National Day for Truth and Reconciliation)
N-4.6	National Day of Remembrance Act
N-4	National Capital Act
N-5	National Defence Act
N-7.6	National Fiddling Day Act
N-7	National Energy Board Act
N-8.6	National Flag of Canada Act
N-8	National Film Act
N-9.1	National Framework for Diabetes Act
N-9.2	National Framework on Cancers Linked to Firefighting Act
N-9.6	National Health and Fitness Day Act
N-9	National Flag of Canada Manufacturing Standards Act
O-1	Oaths of Allegiance Act
O-2.4	Oceans Act
O-2.6	An Act to amend and consolidate the Acts relating to the office of Port Warden for the Harbour of Montreal
O-2.7	Office of the Superintendent of Financial Institutions Act
O-2.8	Official Development Assistance Accountability Act
O-3.01	Official Languages Act
O-4	Official Residences Act
O-5	Foreign Interference and Security of Information Act
O-7	Canada Oil and Gas Operations Act
O-8.3	Oil Tanker Moratorium Act
O-8	Oil Substitution and Conservation Act
O-9.1	Olympic (1976) Act
O-9.2	Olympic and Paralympic Marks Act
O-9.3	Online News Act
O-9.5	An Act respecting certain Works on the Ottawa River
O-9	Old Age Security Act
P-0.2	Pandemic Day Act
P-0.4	Parks Canada Agency Act
P-10	Pesticide Residue Compensation Act
P-11.1	Petro-Canada Public Participation Act
P-12	Petroleum and Gas Revenue Tax Act
P-13.2	Pharmacare Act
P-13.4	Physical Activity and Sport Act
P-13.6	Pictou Landing Indian Band Agreement Act
P-1.3	Parliamentary Employment and Staff Relations Act
P-14.2	Pioneer Trust Payment Continuation Act
P-14.6	Plant Breeders’ Rights Act
P-14.8	Plant Protection Act
P-14	Pilotage Act
P-15.3	Pooled Registered Pension Plans Act
P-15.44	Port of Montreal Operations Act, 2021
P-15.4	Pope John Paul II Day Act
P-15.5	An Act respecting certain postal rates
P-15.6	Postal Services Continuation Act, 1987
P-15.7	Postal Services Continuation Act, 1991
P-15.8	Postal Services Continuation Act, 1997
P-16.5	Postal Services Resumption and Continuation Act
P-16.81	Poverty Reduction Act
P-16.8	Poverty Reduction Act
P-16	Postal Services Interruption Relief Act
P-17	Prairie Farm Rehabilitation Act
P-18	Prairie Grain Advance Payments Act
P-19.32	Preclearance Act, 2016
P-19.3	Preclearance Act
P-19.45	Prevention of Terrorist Travel Act
P-19.6	Prince Rupert Grain Handling Operations Act
P-19	Precious Metals Marking Act
P-1	Parliament of Canada Act
P-20	Prisons and Reformatories Act
P-21	Privacy Act
P-24.501	Proceeds of Crime (Money Laundering) and Terrorist Financing Act
P-24.8	Prohibiting Cluster Munitions Act
P-24	Privileges and Immunities (North Atlantic Treaty Organisation) Act
P-25.2	Prohibition on the Purchase of Residential Property by Non-Canadians Act
P-25.6	Protecting Air Service Act
P-25.7	Protection of Residential Mortgage or Hypothecary Insurance Act
P-25	Prohibition of International Air Services Act
P-26	Provincial Subsidies Act
P-27.5	Public Complaints and Review Commission Act
P-28	Public Documents Act
P-29.5	Public Health Agency of Canada Act
P-29.71	Public Health Events of National Concern Payments Act
P-29.7	Public Health Events of National Concern Payments Act
P-31.4	Public Pensions Reporting Act
P-31.55	Department of Public Safety and Emergency Preparedness Act
P-31.5	Public Safety Act, 2002
P-31.65	Public Sector Equitable Compensation Act
P-31.6	Public Sector Compensation Act
P-31.7	Public Sector Pension Investment Board Act
P-31.8	Public Sector Pension Reform
P-31.9	Public Servants Disclosure Protection Act
P-31	Public Officers Act
P-32	Public Servants Inventions Act
P-33.01	Public Service Employment Act
P-33.35	Federal Public Sector Labour Relations and Employment Board Act
P-33.3	Federal Public Sector Labour Relations Act
P-33.4	Public Service Modernization Act
P-33.6	Public Service Pension Adjustment Act
P-33	Public Service Employment Act
P-34	Public Service Rearrangement and Transfer of Duties Act
P-35	Public Service Staff Relations Act
P-36	Public Service Superannuation Act
P-38.2	Department of Public Works and Government Services Act
P-38.8	Purple Day Act
P-4.2	Pay Equity Act
P-4.3	Payment Card Networks Act
P-4.4	Payment Clearing and Settlement Act
P-4.6	An Act respecting payments to a trust established to provide provinces and territories with funding for community development
P-4	Patent Act
P-6.7	Pension Benefits Division Act
P-6	Pension Act
P-7.01	Pension Benefits Standards Act, 1985
P-8.3	Perfluorooctane Sulfonate Virtual Elimination Act
P-8.6	Personal Information Protection and Electronic Documents Act
P-8	Pension Fund Societies Act
P-9.01	Pest Control Products Act
P-9	Pest Control Products Act
Q-0.5	Qalipu Mi’kmaq First Nation Act
Q-1.1	Quarantine Act
Q-1.7	Quebec Harbor, Port Warden Act
Q-1.8	Queen Elizabeth II Canadian Research Fund Act
Q-1	Quarantine Act
R-10.6	Royal Canadian Mounted Police Pension Continuation Act
R-10	Royal Canadian Mounted Police Act
R-11	Royal Canadian Mounted Police Superannuation Act
R-12.1	Royal Style and Titles Act, 2023
R-12	Royal Style and Titles Act
R-1	Radiation Emitting Devices Act
R-2	Radiocommunication Act
R-3.25	Railway Belt Water Act
R-3.2	Railway Belt Act
R-3.3	Railway Continuation Act, 2007
R-4.2	Railway Safety Act
R-4.4	Recognition of Charlottetown as the Birthplace of Confederation Act
R-4.5	Red Tape Reduction Act
R-4.6	Reduction of Recidivism Framework Act
R-4.7	Referendum Act
R-4.9	Regional Development Incentives Act
R-4	Railway Relocation and Crossing Act
R-5.3	An Act respecting regulations made pursuant to section 4 of the Aeronautics Act
R-5.44	Rental Housing Benefit Act
R-5.4	Remote Sensing Space Systems Act
R-5.5	Representation Act, 1974
R-5.6	Representation Act, 1985
R-7.2	Restoring Mail Delivery for Canadians Act
R-7.36	Retail Payment Activities Act
R-7.3	Restoring Rail Service Act
R-7.4	Returned Soldiers’ Insurance Act
R-7.7	Revised Statutes of Canada, 1985 Act
R-7	Resources and Technical Surveys Act
R-8.2	Riding Name Change Act, 2014
R-8.55	Rouge National Urban Park Act
R-8.5	Roosevelt Campobello International Park Commission Act
R-8.6	Royal Assent Act
R-8	Revolving Funds Act
R-9	Royal Canadian Mint Act
S-10.01	Shipping Conferences Exemption Act, 1987
S-10.1	Sikh Heritage Month Act
S-10.2	Sioux Valley Dakota Nation Governance Act
S-1.04	Safe Drinking Water for First Nations Act
S-10.4	Sir John A. Macdonald Day and the Sir Wilfrid Laurier Day Act
S-10.9	Small Business Investment Grants Act
S-11.5	Department of Social Development Act
S-1.1	Safe Food for Canadians Act
S-12.55	Softwood Lumber Products Export Charge Act, 2006
S-12.8	Soldier Settlement Act
S-12	Social Sciences and Humanities Research Council Act
S-13.5	Songhees Indian Reserve Act
S-1.3	Saguenay-St. Lawrence Marine Park Act
S-13	Department of the Solicitor General Act
S-14.3	An Act to grant access to records of the Special Committee on the Defence of Canada Regulations
S-14.5	Special Economic Measures Act
S-14	Special Areas Act
S-15.2	Special Retirement Arrangements Act
S-15.34	Specific Claims Resolution Act
S-15.36	Specific Claims Tribunal Act
S-15.3	Species at Risk Act
S-15.4	Spending Control Act
S-15.6	Spirit Drinks Trade Act
S-15.7	Split Lake Cree First Nation Flooded Land Act
S-15.8	Sports Pool and Loto Canada Winding-Up Act
S-1.5	Sahtu Dene and Metis Land Claim Settlement Act
S-15	Special Import Measures Act
S-16	Standards Council of Canada Act
S-18	State Immunity Act
S-19.6	Status of the Artist Act
S-19	Statistics Act
S-1	Safe Containers Convention Act
S-20	Legislation Revision and Consolidation Act
S-21.5	Statutes Repeal Act
S-21	Publication of Statutes Act
S-22.7	Canada Student Financial Assistance Act
S-22	Statutory Instruments Act
S-23.5	Succession to the Throne Act, 2013
S-23.7	Supplementary Fiscal Equalization Payments 1982-87 Act
S-23	Canada Student Loans Act
S-24	Supplementary Retirement Benefits Act
S-25.5	Supporting Vulnerable Seniors and Strengthening Canada’s Economy Act
S-2.5	St. Peter’s Reserve Act
S-2.6	St. Regis Islands Act
S-26	Supreme Court Act
S-27	Surplus Crown Assets Act
S-3	Salaries Act
S-4.3	Saskatchewan Treaty Land Entitlement Act
S-6.6	shíshálh Nation Self-Government Act
S-6.7	Secure Air Travel Act
S-6.9	Security of Canada Information Disclosure Act
S-6	Seals Act
S-7.2	Security Screening Services Commercialization Act
S-7	Security Offences Act
S-8.35	Select Luxury Items Tax Act
S-8.36	Self-Government Treaty Recognizing the Whitecap Dakota Nation / Wapaha Ska Dakota Oyate Act
S-8.3	Seized Property Management Act
S-8.4	Service Fees Act
S-8.5	Settlement of International Investment Disputes Act
S-8.7	Sex Offender Information Registration Act
S-8.9	Shared Services Canada Act
S-8	Seeds Act
S-9	Canada Shipping Act
T-10.2	The British Columbia Indian Lands Settlement Act
T-10.3	The Financial Advisors Association of Canada Act
T-10.43	The Loan Act, 1936
T-10.47	The Manitoba Natural Resources Act
T-10.48	The Railway Belt and Peace River Block Act
T-10.49	The Saskatchewan Natural Resources Act
T-10.4	The Lake of the Woods Control Board Act, 1921
T-10.5	The Saskatchewan Natural Resources Acts
T-10.6	Thunder Bay Grain Handling Operations Act
T-10	Textile Labelling Act
T-11.1	Time Limits and Other Periods Act (COVID-19)
T-11.2	Tla’amin Final Agreement Act
T-11.3	Tlicho Land Claims and Self-Government Act
T-11.5	Tobacco and Vaping Products Act
T-11	Timber Marking Act
T-1.3	Tax-back Guarantee Act
T-13	Trademarks Act
T-14	Trade Unions Act
T-1.5	Tax Conventions Implementation Act, 2002
T-15	Transfer of Offenders Act
T-1.6	Tax Conventions Implementation Act, 2004
T-16	Translation Bureau Act
T-1.7	Tax Conventions Implementation Act, 2013
T-18.5	Transportation Appeal Tribunal of Canada Act
T-18	Department of Transport Act
T-19.01	Transportation of Dangerous Goods Act, 1992
T-19.8	Trust and Loan Companies Act
T-21.5	Tsawwassen First Nation Final Agreement Act
T-2	Tax Court of Canada Act
T-3.4	Telecommunications Act
T-3	Tax Rebate Discounting Act
T-4.2	Teleglobe Canada Reorganization and Divestiture Act
T-6.1	Telesat Canada Reorganization and Divestiture Act
T-7	Territorial Lands Act
U-0.4	Ukrainian Famine and Genocide (“Holodomor”) Memorial Day Act
U-0.5	Underused Housing Tax Act
U-0.6	Unemployment Assistance Act
U-1.5	Unemployment Insurance Benefit Entitlement Adjustments (Pension Payments) Act
U-2.2	United Nations Declaration on the Rights of Indigenous Peoples Act
U-2.4	United Nations Foreign Arbitral Awards Convention Act
U-2	United Nations Act
U-3.2	Universal Child Care Benefit Act
U-3.5	Use of French in Federally Regulated Private Businesses Act
U-3.7	User Fees Act
U-3	United States Wreckers Act
V-1.3	Veterans Benefit Act
V-1.4	Veterans Insurance Act
V-1.5	Veterans’ Land Act
V-1.6	Veterans Review and Appeal Board Act
V-1.8	Vimy Ridge Day Act
V-1	Department of Veterans Affairs Act
V-2	Visiting Forces Act
V-3	Vocational Rehabilitation of Disabled Persons Act
W-0.8	Wage Earner Protection Program Act
W-10	National Wildlife Week Act
W-11.2	Witness Protection Program Act
W-11.3	Department for Women and Gender Equality Act
W-11.4	Women’s Royal Naval Services and the South African Military Nursing Service (Benefits) Act
W-11.5	Workers Mourning Day Act
W-11.6	World Autism Awareness Day Act
W-11.8	World Trade Organization Agreement Implementation Act
W-11	Winding-up and Restructuring Act
W-12.3	Wrecked, Abandoned or Hazardous Vessels Act
W-1	Wages Liability Act
W-2.5	War Service Grants Act
W-3	War Veterans Allowance Act
W-4	Dominion Water Power Act
W-5	Weather Modification Information Act
W-6.2	Westbank First Nation Self-Government Act
W-6.4	West Coast Ports Operations Act, 1994
W-6.5	West Coast Ports Operations Act, 1995
W-6.75	An Act to repeal An Act to incorporate the Western Canada Telephone Company
W-6.7	Western Arctic (Inuvialuit) Claims Settlement Act
W-6.8	Western Economic Diversification Act
W-6	Weights and Measures Act
W-7.8	Western Grain Transition Payments Act
W-8.5	Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act
W-9	Canada Wildlife Act
Y-0.2	Yale First Nation Final Agreement Act
Y-0.6	York Factory First Nation Flooded Land Act
Y-1.5	Youth Criminal Justice Act
Y-1	Young Offenders Act
Y-2.01	Yukon Act
Y-2.2	Yukon Environmental and Socio-economic Assessment Act
Y-2.3	Yukon First Nations Land Claims Settlement Act
Y-2.6	Yukon First Nations Self-Government Act
Y-2	Yukon Act
Y-3	Yukon Placer Mining Act
Y-4.3	Yukon Surface Rights Board Act
Y-4.6	Yukon Waters Act
Y-4	Yukon Quartz Mining Act
Z-01	Appropriation Acts
Z-02	Agreements and Conventions
Z-040	Canadian Forces Act, 1950
Z-041	Treaties of Peace (Italy, Romania, Hungary and Finland) Act, 1948
Z-0.91	Miscellaneous Statute Law Amendment Act, 1991
Z-0.98	Dominion Succession Duty Act
C.R.C.,_c._100	Ottawa International Airport Zoning Regulations
C.R.C.,_c._1013	Canada Industrial Relations Remuneration Regulations
C.R.C.,_c._1015	(LongTitle) Fair Wages and Hours of Labour Regulations
C.R.C.,_c._101	Penticton Airport Zoning Regulations
C.R.C.,_c._1021	Lands Surveys Tariff
C.R.C.,_c._1022	Lieutenant Governors Superannuation Regulations
C.R.C.,_c._1023	Hatchery Regulations
C.R.C.,_c._1026	Canadian Livestock Feed Board Headquarters Regulations
C.R.C.,_c._1027	Feed Grain Transportation and Storage Assistance Regulations
C.R.C.,_c._102	Pitt Meadows Airport Zoning Regulations
C.R.C.,_c._1033	(LongTitle) Members of Parliament Retiring Allowances Regulations
C.R.C.,_c._1035	Migratory Birds Regulations
C.R.C.,_c._1036	(LongTitle) Migratory Bird Sanctuary Regulations
C.R.C.,_c._1038	(LongTitle) Motor Vehicle Safety Regulations
C.R.C.,_c._103	Prince George Airport Zoning Regulations
C.R.C.,_c._1041	(LongTitle) Narcotic Control Regulations
C.R.C.,_c._1044	National Capital Commission Traffic and Property Regulations
C.R.C.,_c._1045	Canadian Forces Dental Treatment by Civilians Regulations
C.R.C.,_c._1046	Civilian Crews on Auxiliary Vessels Direction
C.R.C.,_c._1048	Estates Regulations
C.R.C.,_c._1049	Military Rules of Evidence
C.R.C.,_c._104	Quebec Airport Zoning Regulations
C.R.C.,_c._1050	Reserve Forces Training Leave Regulations
C.R.C.,_c._1055	National Energy Board Order No. MO-62-69
C.R.C.,_c._1058	Oil Pipeline Uniform Accounting Regulations
C.R.C.,_c._105	Regina Airport Zoning Regulations
C.R.C.,_c._106	Resolute Bay Airport Zoning Regulations
C.R.C.,_c._109	Sault Ste. Marie Airport Zoning Regulations
C.R.C.,_c._10	Flying Accidents Compensation Regulations
C.R.C.,_c._1105	Potable Water Regulations for Common Carriers
C.R.C.,_c._1107	N.H.A. Maximum Interest Rates Regulations
C.R.C.,_c._1111	(LongTitle) Town of Jasper Zoning Regulations
C.R.C.,_c._1112	(LongTitle) National Historic Sites of Canada Order
C.R.C.,_c._1114	National Parks Building Regulations
C.R.C.,_c._111	St. Hubert Airport Zoning Regulations
C.R.C.,_c._1120	(LongTitle) National Parks of Canada Fishing Regulations
C.R.C.,_c._1126	National Parks Highway Traffic Regulations
C.R.C.,_c._112	St. Johns (Quebec) Airport Zoning Regulations
C.R.C.,_c._1130	National Parks Signs Regulations
C.R.C.,_c._1134	(LongTitle) National Parks of Canada Water and Sewer Regulations
C.R.C.,_c._113	St. John’s (Torbay) Airport Zoning Regulations
C.R.C.,_c._1145	Ammonium Nitrate Storage Facilities Regulations
